UserId,UserName,Date,Location,PostId,TagId,TagName
"3576984","MichaelChirico","2017-04-29 10:56:28","Singapore","19403384","390","shell"
"876062","damithH","2017-08-12 06:59:51","Singapore","24880920","390","shell"
"4197284","VSri58","2017-03-27 07:30:06","Singapore","27393442","390","shell"
"2900502","Shersh","2017-08-13 12:12:08","Singapore","45439486","12282","pattern-matching"
"106224","BoltClock","2017-02-27 17:19:15","Singapore","42490129","17363","pseudo-class"
"106224","BoltClock","2017-04-22 13:41:21","Singapore","43559687","17363","pseudo-class"
"9153242","pappusenpai","2017-12-31 03:26:44","Singapore","48032026","17364","algorithmic-trading"
"5882402","beneditatan","2017-10-04 02:48:57","Singapore","46556106","691","firefox"
"466826","ajreal","2017-09-30 17:05:47","Singapore, Singapore","4290667","2857","zend-framework"
"466826","ajreal","2017-05-30 16:42:58","Singapore, Singapore","4419524","2857","zend-framework"
"6905442","Emilyy Lim","2017-01-13 19:05:26","Singapore","41619286","22","sql"
"1863229","Tim Biegeleisen","2017-02-01 09:23:41","Singapore","41975910","22","sql"
"1863229","Tim Biegeleisen","2017-02-17 06:20:55","Singapore","42290290","22","sql"
"1863229","Tim Biegeleisen","2017-02-17 14:38:28","Singapore","42300310","22","sql"
"1863229","Tim Biegeleisen","2017-02-21 04:27:57","Singapore","42358609","22","sql"
"3205937","GMB","2017-03-07 02:11:14","Singapore","42617839","22","sql"
"3339556","Thang Pham","2017-07-17 11:50:22","Singapore","45138020","41","vb.net"
"2976484","Denzil","2017-07-19 14:31:35","Singapore","45192584","41","vb.net"
"7778012","Mederic","2017-08-30 09:36:13","Singapore","45733068","41","vb.net"
"80353","Kim Stacks","2017-08-27 00:36:57","Singapore, Singapore","45873859","81932","minimum-cut"
"1091386","icedwater","2017-07-14 09:23:07","Singapore, Singapore","24169331","88115","miso.dataset"
"292291","Jiew Meng","2017-07-25 11:22:42","Singapore, Singapore","9695271","1136","swt"
"68035","gaqzi","2017-02-24 06:42:57","Singapore","26559486","104476","xcode-server"
"2041954","Archy Wilhes 魏何","2017-02-09 06:17:31","Singapore","42129380","5647","build"
"521209","Jin","2017-12-20 18:12:53","Singapore","47904941","5647","build"
"876062","damithH","2017-08-29 08:43:27","Singapore","30722606","112538","xcode7"
"5575410","Ayush Khare","2017-09-01 03:33:06","Singapore","45976334","1386","android"
"1863229","Tim Biegeleisen","2017-09-01 04:42:57","Singapore","45993155","1386","android"
"8301073","kegs Production","2017-09-08 06:44:32","Singapore","46109563","1386","android"
"8408616","Kevin","2017-09-11 06:26:47","Singapore","46146968","1386","android"
"7515191","Wei Xiong","2017-09-14 03:14:52","Singapore","46166613","1386","android"
"8465023","Phani Kumar M","2017-09-19 05:01:11","Singapore","46290913","1386","android"
"8465023","Phani Kumar M","2017-09-21 01:01:21","Singapore","46333653","1386","android"
"814713","Jeffrey Basurto","2017-09-28 15:48:41","Singapore","46472844","1386","android"
"3133518","Jacky","2017-10-17 10:44:53","Singapore","46787037","1386","android"
"1265976","max li","2017-12-15 18:23:27","Singapore, Singapore","47837576","117680","react-redux"
"8449629","Z.Lin","2017-08-21 19:14:07","Singapore","45802172","122117","fuzzyjoin"
"1939166","aceminer","2017-07-26 15:57:19","Singapore","28845284","8470","set"
"7485044","Mike","2017-01-31 08:22:34","Singapore","41948837","8470","set"
"534862","Lionel Chan","2017-01-03 06:33:53","Singapore, Singapore","41437668","357","xampp"
"7848264","Arunava Nag","2017-04-12 03:58:39","Singapore","43359221","2129","destructor"
"14955","Thilo","2017-05-18 19:58:16","Singapore","2979741","631","foreach"
"610569","alvas","2017-06-28 09:03:33","Singapore","22073688","16712","nltk"
"610569","alvas","2017-07-27 16:10:59","Singapore","31143015","16712","nltk"
"610569","alvas","2017-08-18 13:43:08","Singapore","35508230","16712","nltk"
"6011446","Nikhil Raghavendra","2017-12-25 01:50:20","Singapore, Singapore","37605710","16712","nltk"
"610569","alvas","2017-02-19 07:13:39","Singapore","42321701","16712","nltk"
"610569","alvas","2017-04-02 04:55:39","Singapore","42882127","16712","nltk"
"610569","alvas","2017-04-07 13:42:57","Singapore","43223664","16712","nltk"
"610569","alvas","2017-05-14 05:09:57","Singapore","43959815","16712","nltk"
"610569","alvas","2017-05-25 08:09:33","Singapore","44173624","16712","nltk"
"610569","alvas","2017-06-05 09:15:47","Singapore","44356417","16712","nltk"
"610569","alvas","2017-06-11 10:38:54","Singapore","44478126","16712","nltk"
"610569","alvas","2017-11-20 07:18:35","Singapore","47372801","16712","nltk"
"610569","alvas","2017-11-28 01:51:33","Singapore","47519987","16712","nltk"
"610569","alvas","2017-12-04 06:48:12","Singapore","47614999","16712","nltk"
"2491900","shree.pat18","2017-01-13 22:27:04","Singapore","24303763","74269","sql-server-2012"
"1520557","Drenmi","2017-07-09 13:49:27","Singapore","44985842","2773","if-statement"
"8601760","aaron","2017-11-30 05:13:10","Singapore","47565570","3222","user-input"
"1521686","Hybridzz","2017-01-24 15:16:09","Singapore","13080575","41","vb.net"
"876062","damithH","2017-08-12 06:59:51","Singapore","24880920","908","xcode"
"68035","gaqzi","2017-02-24 06:42:57","Singapore","26559486","908","xcode"
"8449629","Z.Lin","2017-09-08 01:28:30","Singapore","42688230","90570","bintray"
"6203226","Adam Quek","2017-05-02 19:33:52","Singapore","43733194","4584","initialization"
"5703903","jkschin","2017-11-26 11:23:34","Singapore","47492631","4584","initialization"
"1767366","Bnrdo","2017-11-27 06:11:58","Singapore","47496591","1211","spring"
"4270018","Sunil","2017-12-22 16:27:29","Singapore","47944225","1211","spring"
"97584","Eddy","2017-07-21 07:04:50","Singapore","10899381","39114","printer-properties"
"1754181","woshitom","2017-12-26 18:52:45","Singapore","47982515","111505","mapbox-gl-js"
"8449629","Z.Lin","2017-09-05 06:46:07","Singapore","45858133","46457","dataframe"
"8691462","Sai Ram","2017-10-08 10:40:18","Singapore","46629423","46457","dataframe"
"7364980","Imran Hamid","2017-01-03 18:46:31","Singapore","41426387","1386","android"
