UserId,UserName,Date,Location,PostId,TagId,TagName
"5956151","C.Radford","2018-02-09 17:32:12","Toronto, ON, Canada","48694781","423","mouse"
"717523","sg7","2018-03-09 22:48:59","Toronto, ON, Canada","31779335","543","optimization"
"7128479","grizzthedj","2018-05-16 08:05:35","Toronto, ON, Canada","50293204","548","virtualization"
"806808","Andrey Belykh","2017-11-16 18:55:47","Toronto, ON, Canada","41088537","73524","android-activity"
"1467926","Will","2018-02-08 07:29:04","Toronto, ON, Canada","33508632","2556","functional-programming"
"2287993","jathu","2018-04-14 14:30:43","Toronto, ON, Canada","33044668","75063","segue"
"1032372","shim","2018-03-13 20:07:16","Toronto, ON, Canada","49260050","78022","angularjs"
"3627","Prabin Paudel","2018-03-26 04:13:23","Toronto, ON, Canada","49483846","78022","angularjs"
"7317387","Vikki","2017-10-04 19:59:31","Toronto, ON, Canada","46572324","20971","web-deployment"
"835883","j2emanue","2018-06-04 12:57:22","Toronto, ON, Canada","50272431","79466","firebase"
"6818018","Matto","2017-07-08 11:37:52","Toronto, ON, Canada","44908305","80988","gruntjs"
"1200183","SamHecquet","2017-12-04 15:07:55","Toronto, ON, Canada","47516604","82089","logstash"
"3600709","ctwheels","2017-12-15 16:49:10","Toronto, ON, Canada","47823738","1117","xaml"
"7128479","grizzthedj","2018-02-03 19:38:10","Toronto, ON, Canada","1419686","1124","encoding"
"7128479","grizzthedj","2018-06-07 13:02:12","Toronto, ON, Canada","50739612","100399","jquery-terminal"
"7128479","grizzthedj","2017-12-15 14:59:56","Toronto, ON, Canada","47833981","1151","select"
"7128479","grizzthedj","2018-05-21 01:56:18","Toronto, ON, Canada","50439816","34216","glow"
"806808","Andrey Belykh","2017-11-02 16:58:00","Toronto, ON, Canada","46172018","16","python"
"7128479","grizzthedj","2018-05-19 11:58:26","Toronto, ON, Canada","50423861","110585","jupyter"
"9183344","Idlehands","2018-03-13 21:08:01","Toronto","49265699","16","python"
"717523","sg7","2018-03-20 23:50:58","Toronto, ON, Canada","49390112","16","python"
"6929294","Max Lawnboy","2018-03-22 21:34:57","Toronto, ON, Canada","49438740","16","python"
"7128479","grizzthedj","2018-04-02 11:53:35","Toronto, ON, Canada","49602904","16","python"
"9991203","Hemanth","2018-06-28 20:12:13","Toronto, ON, Canada","51031779","41879","entity-attribute-value"
"979483","Mike Barwick","2017-09-08 04:15:51","Toronto, ON","46107323","122377","vuejs2"
"8940858","ezzzCash","2017-12-13 16:49:40","Toronto, ON, Canada","47795211","122377","vuejs2"
"7128479","grizzthedj","2018-01-27 12:01:15","Toronto, ON, Canada","48475408","122377","vuejs2"
"717523","sg7","2018-03-30 20:30:35","Toronto, ON, Canada","49570066","124699","admin-on-rest"
"1200183","SamHecquet","2017-11-05 19:30:15","Toronto, ON, Canada","47032368","124815","cakephp-3.4"
"8488968","clark","2017-09-02 01:43:44","Toronto, ON, Canada","46009388","124822","react-navigation"
"1227152","mustaccio","2017-08-22 19:01:03","Toronto, ON, Canada","45582152","124917","devops-services"
"4184556","doviod","2018-03-22 13:37:48","Toronto, ON, Canada","49133395","128325","ggplotly"
"1148244","Pabs123","2018-04-20 18:51:09","Toronto, ON, Canada","49947760","128390","oaf"
"7793300","D Cheeles","2017-08-17 02:09:26","Toronto","45722011","6205","unique"
"8256213","may","2017-08-02 20:05:53","Toronto, ON, Canada","45469719","248","algorithm"
"3067928","Ronak Patel","2017-09-25 16:27:16","Toronto","46409888","1554","curl"
"387169","mhz","2018-01-03 18:09:57","Toronto, ON, Canada","48081100","259","math"
"1012863","corning","2018-03-20 22:20:29","Toronto, ON, Canada","28169333","6525","clojure"
"809584","alexakarpov","2018-01-26 23:27:40","Toronto, ON, Canada","48451331","6525","clojure"
"809584","alexakarpov","2018-02-13 09:39:42","Toronto, ON, Canada","48761023","6525","clojure"
"6818018","Matto","2017-07-08 11:37:52","Toronto, ON, Canada","44908305","46426","node.js"
"3186895","Mak","2017-11-20 22:46:13","Toronto, ON, Canada","47386697","46426","node.js"
"8395255","Tom Ines","2018-05-21 02:40:41","Toronto, ON, Canada","47557222","46426","node.js"
"7090538","Robin","2017-08-08 05:24:06","Toronto, ON, Canada","45559824","7158","callback"
"835883","j2emanue","2017-12-18 10:26:46","Toronto, ON, Canada","47863889","7166","autofill"
"3707607","Ted Petrou","2018-05-28 14:37:09","Toronto, ON, Canada","30133280","7979","matplotlib"
"9374673","Mihai Chelaru","2018-06-24 12:52:23","Toronto, ON, Canada","50544794","7979","matplotlib"
"1412209","Santosh Panda","2017-12-21 19:17:54","Toronto, ON, Canada","26562966","71051","asp.net-mvc-4"
"1173112","Koray Tugay","2018-02-05 16:05:59","Toronto, ON, Canada","47963143","581","hash"
"717523","sg7","2018-03-09 22:48:59","Toronto, ON, Canada","31779335","598","performance"
"1227152","mustaccio","2017-09-21 13:28:12","Toronto, ON, Canada","4669952","73524","android-activity"
"7128479","grizzthedj","2018-01-16 20:21:20","Toronto, ON, Canada","1564656","643","iframe"
"7128479","grizzthedj","2018-01-31 01:20:47","Toronto, ON, Canada","1697420","643","iframe"
"1227152","mustaccio","2018-01-08 05:16:39","Toronto, ON, Canada","48095509","684","replication"
"807969","Bhavesh Gangani","2017-07-21 16:18:00","Toronto, ON, Canada","2799564","21","mysql"
"806808","Andrey Belykh","2017-10-26 22:03:06","Toronto, ON, Canada","46936630","18622","settimeout"
"4228458","CodingYoshi","2018-03-28 17:46:38","Toronto, ON, Canada","49540231","752","wcf"
"1200183","SamHecquet","2017-11-06 21:38:16","Toronto, ON, Canada","47143940","21","mysql"
"1200183","SamHecquet","2017-11-06 20:14:48","Toronto, ON, Canada","47144182","21","mysql"
"1227152","mustaccio","2018-05-16 09:59:11","Toronto, ON, Canada","50351897","21289","wait"
"4333347","Bolboa","2017-11-28 07:19:49","Toronto, ON, Canada","47451126","22444","linear-regression"
"1032372","shim","2018-05-17 22:08:14","Toronto, ON, Canada","5388152","22753","uitabbarcontroller"
"3761097","Slack Groverglow","2018-03-14 18:50:50","Toronto, ON, Canada","49263100","3456","dblink"
"4463401","Ruan_Lopes","2018-03-22 03:27:33","Toronto, ON, Canada","36554879","93354","android-styles"
"4463401","Ruan_Lopes","2017-12-13 05:02:34","Toronto, ON, Canada","47784445","98249","android-bitmap"
"3328396","Markus","2017-09-03 18:56:17","Toronto, ON, Canada","37693460","100064","ionic-framework"
"1020476","Saeid","2017-08-20 22:10:42","Toronto, ON, Canada","8776297","4985","image"
"7128479","grizzthedj","2018-02-03 19:31:06","Toronto, ON, Canada","1186922","16","python"
"7128479","grizzthedj","2018-02-03 19:42:58","Toronto, ON, Canada","1389278","16","python"
"7128479","grizzthedj","2018-02-03 19:38:10","Toronto, ON, Canada","1419686","16","python"
"3390466","Victor2748","2018-02-12 00:17:24","Toronto, ON, Canada","48737468","106906","clion"
"1227152","mustaccio","2018-06-14 13:49:41","Toronto, ON, Canada","50850523","108010","powershell-v5.0"
"6273571","Hadron Tungsten","2017-09-26 13:04:17","Toronto, ON, Canada","41601358","16","python"
"7992467","cookiedough","2017-08-17 19:17:53","Toronto, ON, Canada","45742440","16","python"
"821054","RMalke","2017-09-11 17:03:00","Toronto, ON","14592781","13720","dto"
"717523","sg7","2018-04-03 00:51:10","Toronto, ON, Canada","49620232","543","optimization"
"1793374","Mike","2018-05-22 13:52:21","Toronto, ON, Canada","22181713","17310","while-loop"
"147507","Alpha","2018-04-30 00:37:28","Toronto, ON, Canada","50084839","78022","angularjs"
"7992467","cookiedough","2018-02-07 04:31:32","Toronto, ON, Canada","43896087","20873","models"
"835883","j2emanue","2018-05-09 07:49:19","Toronto, ON, Canada","50245764","79466","firebase"
"7128479","grizzthedj","2018-05-30 01:03:21","Toronto, ON, Canada","50591909","79466","firebase"
"1032372","shim","2018-02-01 16:28:37","Toronto, ON, Canada","26112993","104803","xcode6"
"7128479","grizzthedj","2018-02-04 16:54:42","Toronto, ON, Canada","34421480","1259","conditional"
"4463401","Ruan_Lopes","2018-06-04 20:25:21","Toronto, ON, Canada","50687012","35201","simpledateformat"
"3707607","Ted Petrou","2017-09-17 13:31:25","Toronto, ON, Canada","46254816","16","python"
"3157745","Xenyal","2017-09-20 17:16:36","Toronto","46327759","16","python"
"8707815","Crudough","2017-10-04 15:18:29","Toronto, ON, Canada","46524872","16","python"
"6723859","SoZettaSho","2017-10-06 06:06:48","Toronto, ON, Canada","46577593","16","python"
"1033027","Jules","2018-03-14 18:54:51","Toronto, ON, Canada","49227431","16","python"
"5695018","Ziyad Edher","2018-03-21 03:05:55","Toronto, ON, Canada","49394991","16","python"
"7128479","grizzthedj","2018-04-03 06:23:53","Toronto, ON, Canada","49598916","16","python"
"717523","sg7","2018-04-04 00:21:39","Toronto, ON, Canada","49638857","16","python"
"4371791","hdifen","2017-10-06 15:31:34","Toronto, ON, Canada","46595509","122377","vuejs2"
"8940858","ezzzCash","2017-12-11 21:31:16","Toronto, ON, Canada","47760250","122377","vuejs2"
"7128479","grizzthedj","2018-05-23 15:03:45","Toronto, ON, Canada","50486914","122377","vuejs2"
"9558798","Martin Wu","2018-04-06 09:45:52","Toronto, ON, Canada","49516205","128089","rpa"
"4996007","Ryan J. Shrott","2017-07-25 17:48:10","Toronto","45306979","248","algorithm"
"7128479","grizzthedj","2018-06-01 02:01:39","Toronto, ON, Canada","50628471","1554","curl"
"8184778","Workkkkk","2017-10-04 02:03:58","Toronto, ON, Canada","46555740","46426","node.js"
"4873380","Asool","2017-10-05 19:12:04","Toronto, ON, Canada","46593019","46426","node.js"
"8184778","Workkkkk","2017-10-20 16:32:27","Toronto, ON, Canada","46839153","46426","node.js"
"5486101","TheOkayCoder","2017-11-06 00:45:38","Toronto, ON, Canada","47101603","46426","node.js"
"8395255","Tom Ines","2017-11-14 00:04:06","Toronto, ON, Canada","47273892","46426","node.js"
"8124392","Onur Ozbek","2017-08-28 01:14:59","Toronto, ON, Canada","45900461","47962","android-intent"
"8124392","Onur Ozbek","2017-08-28 17:21:02","Toronto, ON, Canada","45919281","47962","android-intent"
"269694","Nitrodist","2017-09-29 04:21:46","Toronto, ON, Canada","239194","341","xss"
"7128479","grizzthedj","2018-06-05 02:34:56","Toronto, ON, Canada","50689986","7166","autofill"
"3707607","Ted Petrou","2017-09-17 13:31:25","Toronto, ON, Canada","46254816","7979","matplotlib"
"726954","Graeme","2017-08-25 16:09:48","Toronto, ON, Canada","6676921","67023","android-fragments"
"1020476","Saeid","2018-04-25 09:53:38","Toronto, ON, Canada","10561590","67617","asp.net-mvc-3"
"7128479","grizzthedj","2018-05-31 04:11:01","Toronto, ON, Canada","50607134","14330","forward"
"815680","bryc","2018-04-16 13:58:06","Toronto, ON","48713306","581","hash"
"726954","Graeme","2017-08-25 16:09:48","Toronto, ON, Canada","6676921","73524","android-activity"
"4228458","CodingYoshi","2018-03-28 00:22:11","Toronto, ON, Canada","49523757","752","wcf"
"7128479","grizzthedj","2018-05-10 03:18:11","Toronto, ON, Canada","50228666","752","wcf"
"4603670","Barmak Shemirani","2018-05-10 05:19:13","Toronto, ON, Canada","50258899","2780","localization"
"4950293","BleachedAxe","2017-07-24 16:22:39","Toronto","45259065","78022","angularjs"
"1227152","mustaccio","2017-09-01 17:07:44","Toronto, ON, Canada","46004956","21","mysql"
"1200183","SamHecquet","2017-11-01 13:54:01","Toronto, ON, Canada","47056256","21","mysql"
"717523","sg7","2018-04-05 01:34:23","Toronto, ON, Canada","49662346","20180","strlen"
"8255814","Demirhan Ozel","2017-08-17 16:27:56","Toronto, ON, Canada","45738878","22444","linear-regression"
"140903","Am1rr3zA","2017-11-21 15:30:07","Toronto, ON, Canada","1177702","3883","blob"
"7310344","A Busy Programmer","2018-02-13 07:36:40","Toronto, ON, Canada","43323123","90304","docker"
"1227152","mustaccio","2017-10-13 13:55:30","Toronto, ON, Canada","46727912","90304","docker"
"6070282","Oleg Hmelnits","2017-11-29 18:50:13","Toronto, ON, Canada","47556903","942","logging"
"4600","marcospereira","2018-01-04 01:33:02","Toronto, ON, Canada","48087414","942","logging"
"806808","Andrey Belykh","2017-11-14 16:32:31","Toronto, ON, Canada","13288782","64","windows"
"4833127","Zsw","2018-03-19 21:03:25","Toronto, ON, Canada","49204683","29071","mongoose"
"806808","Andrey Belykh","2017-11-01 17:44:39","Toronto, ON, Canada","9763497","29143","submenu"
"140903","Am1rr3zA","2017-11-21 15:30:07","Toronto, ON, Canada","1177702","4985","image"
"7128479","grizzthedj","2018-02-03 19:26:31","Toronto, ON, Canada","1211843","16","python"
"7128479","grizzthedj","2018-02-03 19:24:16","Toronto, ON, Canada","1327211","16","python"
"821054","RMalke","2018-06-25 13:22:28","Toronto, ON","27846337","4985","image"
"4333347","Bolboa","2017-11-06 22:27:04","Toronto, ON, Canada","36435751","16","python"
"8255814","Demirhan Ozel","2017-08-17 16:27:56","Toronto, ON, Canada","45738878","16","python"
"2815551","Amir","2017-08-23 13:00:26","Toronto, ON, Canada","45829802","16","python"
"4633301","Veejay","2017-08-24 08:25:07","Toronto, ON, Canada","45854494","16","python"
"8348464","HIMANSHU RAI","2017-09-08 19:30:44","Toronto, ON, Canada","46015561","16","python"
"7805352","David Wang","2017-09-09 05:56:17","Toronto, ON, Canada","46127117","16","python"
"9398313","IrinaS","2018-02-22 21:20:54","Toronto, ON, Canada","48935971","16","python"
"6347358","sinapan","2018-03-09 00:43:53","Toronto, ON, Canada","49157971","16","python"
"2815551","Amir","2018-06-21 21:13:50","Toronto, ON, Canada","50961959","16","python"
"9476236","Rashik","2018-06-28 23:55:42","Toronto, ON, Canada","50978218","16","python"
"835883","j2emanue","2018-05-09 07:49:19","Toronto, ON, Canada","50245764","112107","firebase-authentication"
"7128479","grizzthedj","2018-05-17 01:20:01","Toronto, ON, Canada","50371783","38612","voice-recognition"
"323128","Maxim","2018-01-18 13:08:46","Toronto, ON, Canada","48303313","117722","angular-cli"
"1917171","MattTreichelYeah","2018-05-07 14:42:26","Toronto, ON, Canada","50180668","117722","angular-cli"
"9476236","Rashik","2018-06-28 23:55:42","Toronto, ON, Canada","50978218","119494","facebook-chatbot"
"3715778","koryakinp","2017-07-28 03:59:34","Toronto, ON, Canada","45364335","13720","dto"
"1998091","andrepaulo","2018-04-09 02:06:11","Toronto, ON, Canada","11404486","71051","asp.net-mvc-4"
"7128479","grizzthedj","2018-05-17 05:57:50","Toronto, ON, Canada","50380421","73524","android-activity"
"7310344","A Busy Programmer","2018-04-11 03:22:35","Toronto, ON, Canada","4767288","2556","functional-programming"
"4600","marcospereira","2017-10-12 17:56:46","Toronto, ON, Canada","27450976","78022","angularjs"
"717523","sg7","2018-03-17 01:56:31","Toronto, ON, Canada","49331241","78022","angularjs"
"8693694","Seeds","2018-06-05 17:54:16","Toronto, ON, Canada","50705981","78022","angularjs"
"4244964","scottc11","2017-12-29 01:38:38","Toronto, ON, Canada","48015368","20873","models"
"7823357","Marc Bosse","2017-11-24 17:25:09","Toronto, ON, Canada","46835159","86703","phpseclib"
"7823357","Marc Bosse","2018-01-02 16:13:58","Toronto, ON, Canada","47911380","86703","phpseclib"
"4603670","Barmak Shemirani","2018-07-02 02:50:51","Toronto, ON, Canada","51127722","64","windows"
"9374673","Mihai Chelaru","2018-07-04 14:03:34","Toronto, ON, Canada","51174617","64","windows"
"7128479","grizzthedj","2018-02-14 14:21:44","Toronto, ON, Canada","48779259","1117","xaml"
"7476167","DigitalDesigner","2018-06-12 07:32:17","Toronto, ON, Canada","50810110","1151","select"
"1032372","shim","2018-03-28 21:07:24","Toronto, ON, Canada","24095037","104810","ios8"
"806808","Andrey Belykh","2017-11-15 14:48:42","Toronto, ON, Canada","13280802","4985","image"
"4996007","Ryan J. Shrott","2017-09-25 15:33:50","Toronto","46408454","16","python"
"1551308","Batta","2017-11-05 13:49:46","Toronto, ON, Canada","47119669","110585","jupyter"
"3600709","ctwheels","2018-03-16 15:14:25","Toronto, ON, Canada","49323896","16","python"
"9183344","Idlehands","2018-03-16 21:40:02","Toronto","49329642","16","python"
"3707607","Ted Petrou","2018-03-19 18:43:43","Toronto, ON, Canada","49367706","16","python"
"4333347","Bolboa","2018-04-01 23:12:30","Toronto, ON, Canada","49592565","16","python"
"7128479","grizzthedj","2018-04-03 13:57:24","Toronto, ON, Canada","49623423","16","python"
"9374673","Mihai Chelaru","2018-07-02 17:03:44","Toronto, ON, Canada","51124706","16","python"
"4603670","Barmak Shemirani","2018-02-01 09:08:23","Toronto, ON, Canada","48549555","5630","pywin32"
"9387284","Matt K","2018-05-28 16:50:51","Toronto, ON, Canada","50570384","118223","python-3.6"
"1620792","iankit","2017-07-27 08:29:23","Toronto, ON, Canada","24183053","40768","websocket"
"9132582","allenski","2018-04-19 23:37:42","Toronto, ON, Canada","46259030","122377","vuejs2"
"8051348","Severus Ken","2018-03-08 16:18:07","Toronto, ON, Canada","49177090","124265","ionic-native"
"1227152","mustaccio","2017-09-22 12:21:14","Toronto, ON, Canada","46345768","124699","admin-on-rest"
"809584","alexakarpov","2018-02-03 02:14:23","Toronto, ON, Canada","48588856","6525","clojure"
"7811169","Ja. L","2017-09-16 02:17:53","Toronto, ON, Canada","44776206","46426","node.js"
"7811169","Ja. L","2017-07-26 04:48:03","Toronto, ON, Canada","45293182","46426","node.js"
"7003927","Ryo-code","2017-08-11 05:07:24","Toronto, ON, Canada","45604125","46426","node.js"
"8184778","Workkkkk","2017-10-03 23:04:54","Toronto, ON, Canada","46553786","46426","node.js"
"4403456","Boris","2018-06-22 19:01:01","Toronto, ON, Canada","50973440","7158","callback"
"1547157","cjhveal","2017-12-11 18:17:36","Toronto, ON","32012120","7979","matplotlib"
"4333347","Bolboa","2017-07-20 17:42:32","Toronto, ON, Canada","43711311","7979","matplotlib"
"9824977","user9824977","2018-05-24 01:29:39","Toronto, ON, Canada","50458837","7979","matplotlib"
"4603670","Barmak Shemirani","2018-05-23 01:43:14","Toronto, ON, Canada","35279816","2171","rtf"
"7802778","jParmar","2017-09-22 16:06:06","Toronto, ON, Canada","46368237","2606","filtering"
"140903","Am1rr3zA","2018-04-09 18:34:26","Toronto, ON, Canada","2750418","21","mysql"
"92313","Daniel Vandersluis","2018-05-24 16:44:09","Toronto, ON, Canada","3840908","21","mysql"
"775119","Ali","2017-08-04 13:55:57","Toronto","23315644","78022","angularjs"
"1032372","shim","2018-05-09 18:10:47","Toronto, ON, Canada","25413132","2780","localization"
"4463401","Ruan_Lopes","2017-11-23 19:48:52","Toronto, ON, Canada","47461757","2780","localization"
"1227152","mustaccio","2018-03-12 07:11:32","Toronto, ON, Canada","46614326","21","mysql"
"1020476","Saeid","2018-03-13 17:51:21","Toronto, ON, Canada","9989049","859","lambda"
"7828093","Madhukar Mohanraju","2017-11-09 07:03:33","Toronto, ON, Canada","47170876","859","lambda"
"147507","Alpha","2018-04-05 15:35:00","Toronto, ON, Canada","47104405","90304","docker"
"815680","bryc","2018-02-08 22:33:58","Toronto, ON","11037831","64","windows"
"2729876","Blacksilver","2018-04-08 21:28:37","Toronto, ON","49721425","29071","mongoose"
"835883","j2emanue","2017-10-19 10:26:56","Toronto, ON, Canada","46766996","97099","android-espresso"
